gameid,week,home_team,visitor_team,home_score,visitor_score
2022090800,1,LA,BUF,10,31
2022091100,1,ATL,NO,26,27
2022091101,1,CAR,CLE,24,26
2022091102,1,CHI,SF,19,10
2022091103,1,CIN,PIT,20,23
2022091104,1,DET,PHI,35,38
2022091105,1,HOU,IND,20,20
2022091106,1,MIA,NE,20,7
2022091107,1,NYJ,BAL,9,24
2022091108,1,TEN,NYG,20,21
2022091109,1,WAS,JAX,28,22
2022091110,1,ARI,KC,21,44
2022091111,1,LAC,LV,24,19
2022091112,1,MIN,GB,23,7
2022091113,1,DAL,TB,3,19
2022091200,1,SEA,DEN,17,16
2022091500,2,KC,LAC,27,24
2022091800,2,BAL,MIA,38,42
2022091801,2,CLE,NYJ,30,31
2022091802,2,DET,WAS,36,27
2022091803,2,JAX,IND,24,0
2022091804,2,NO,TB,10,20
2022091805,2,NYG,CAR,19,16
2022091806,2,PIT,NE,14,17
2022091807,2,LA,ATL,31,27
2022091808,2,SF,SEA,27,7
2022091809,2,DAL,CIN,20,17
2022091810,2,DEN,HOU,16,9
2022091811,2,LV,ARI,23,29
2022091812,2,GB,CHI,27,10
2022091900,2,BUF,TEN,41,7
2022091901,2,PHI,MIN,24,7
2022092200,3,CLE,PIT,29,17
2022092500,3,CAR,NO,22,14
2022092501,3,CHI,HOU,23,20
2022092502,3,IND,KC,20,17
2022092503,3,MIA,BUF,21,19
2022092504,3,MIN,DET,28,24
2022092505,3,NE,BAL,26,37
2022092506,3,NYJ,CIN,12,27
2022092507,3,TEN,LV,24,22
2022092508,3,WAS,PHI,8,24
2022092509,3,LAC,JAX,10,38
2022092510,3,ARI,LA,12,20
2022092511,3,SEA,ATL,23,27
2022092512,3,TB,GB,12,14
2022092513,3,DEN,SF,11,10
2022092600,3,NYG,DAL,16,23
2022092900,4,CIN,MIA,27,15
2022100200,4,NO,MIN,25,28
2022100201,4,ATL,CLE,23,20
2022100202,4,BAL,BUF,20,23
2022100203,4,CAR,ARI,16,26
2022100204,4,DAL,WAS,25,10
2022100205,4,DET,SEA,45,48
2022100206,4,HOU,LAC,24,34
2022100207,4,IND,TEN,17,24
2022100208,4,NYG,CHI,20,12
2022100209,4,PHI,JAX,29,21
2022100210,4,PIT,NYJ,20,24
2022100211,4,GB,NE,27,24
2022100212,4,LV,DEN,32,23
2022100213,4,TB,KC,31,41
2022100300,4,SF,LA,24,9
2022100600,5,DEN,IND,9,12
2022100900,5,GB,NYG,22,27
2022100901,5,BUF,PIT,38,3
2022100902,5,CLE,LAC,28,30
2022100903,5,JAX,HOU,6,13
2022100904,5,MIN,CHI,29,22
2022100905,5,NE,DET,29,0
2022100906,5,NO,SEA,39,32
2022100907,5,NYJ,MIA,40,17
2022100908,5,TB,ATL,21,15
2022100909,5,WAS,TEN,17,21
2022100910,5,CAR,SF,15,37
2022100911,5,ARI,PHI,17,20
2022100912,5,LA,DAL,10,22
2022100913,5,BAL,CIN,19,17
2022101000,5,KC,LV,30,29
2022101300,6,CHI,WAS,7,12
2022101600,6,ATL,SF,28,14
2022101601,6,CLE,NE,15,38
2022101602,6,GB,NYJ,10,27
2022101603,6,IND,JAX,34,27
2022101604,6,MIA,MIN,16,24
2022101605,6,NO,CIN,26,30
2022101606,6,NYG,BAL,24,20
2022101607,6,PIT,TB,20,18
2022101608,6,LA,CAR,24,10
2022101609,6,SEA,ARI,19,9
2022101610,6,KC,BUF,20,24
2022101611,6,PHI,DAL,26,17
2022101700,6,LAC,DEN,19,16
2022102000,7,ARI,NO,42,34
2022102300,7,BAL,CLE,23,20
2022102301,7,CAR,TB,21,3
2022102302,7,CIN,ATL,35,17
2022102303,7,DAL,DET,24,6
2022102304,7,JAX,NYG,17,23
2022102305,7,TEN,IND,19,10
2022102306,7,WAS,GB,23,21
2022102307,7,DEN,NYJ,9,16
2022102308,7,LV,HOU,38,20
2022102309,7,LAC,SEA,23,37
2022102310,7,SF,KC,23,44
2022102311,7,MIA,PIT,16,10
2022102400,7,NE,CHI,14,33
2022102700,8,TB,BAL,22,27
2022103000,8,JAX,DEN,17,21
2022103001,8,ATL,CAR,37,34
2022103002,8,DAL,CHI,49,29
2022103003,8,DET,MIA,27,31
2022103004,8,HOU,TEN,10,17
2022103005,8,MIN,ARI,34,26
2022103006,8,NO,LV,24,0
2022103007,8,NYJ,NE,17,22
2022103008,8,PHI,PIT,35,13
2022103009,8,IND,WAS,16,17
2022103010,8,LA,SF,14,31
2022103011,8,SEA,NYG,27,13
2022103012,8,BUF,GB,27,17
2022103100,8,CLE,CIN,32,13
2022110300,9,HOU,PHI,17,29
2022110600,9,ATL,LAC,17,20
2022110601,9,CHI,MIA,32,35
2022110602,9,CIN,CAR,42,21
2022110603,9,DET,GB,15,9
2022110604,9,JAX,LV,27,20
2022110605,9,NE,IND,26,3
2022110606,9,NYJ,BUF,20,17
2022110607,9,WAS,MIN,17,20
2022110608,9,ARI,SEA,21,31
2022110609,9,TB,LA,16,13
2022110610,9,KC,TEN,20,17
2022110700,9,NO,BAL,13,27
